1,5,1,2,3,13,14,15,0.75,1,0,0,-2.9333e+06
5,6,13,14,15,16,17,18,0.75,1,0,0,-2.9333e+06
6,2,16,17,18,4,5,6,0.75,1,0,0,-3.0221e+06
5,7,13,14,15,19,20,21,0.5,0,1,0,0
6,8,16,17,18,22,23,24,0.5,0,1,0,3.1732e+05
3,7,7,8,9,19,20,21,0.75,1,0,0,-3.488e+06
7,8,19,20,21,22,23,24,0.75,1,0,0,-2.4716e+06
8,4,22,23,24,10,11,12,0.75,1,0,0,-1.7321e+06
1,7,1,2,3,19,20,21,0.90139,0.83205,0.5547,0,6.4945e+05
6,7,16,17,18,19,20,21,0.90139,-0.83205,0.5547,0,-5.7205e+05
2,8,4,5,6,22,23,24,0.90139,-0.83205,0.5547,0,59424
3,9,7,8,9,25,26,27,1,0.75,-0.5,-0.43301,7.5283e+05
7,9,19,20,21,25,26,27,0.66144,0,-0.75593,-0.65465,-56792
8,10,22,23,24,28,29,30,0.66144,0,-0.75593,-0.65465,-7.4645e+05
4,10,10,11,12,28,29,30,1,-0.75,-0.5,-0.43301,33595
1,9,1,2,3,25,26,27,0.86603,0.86603,0,-0.5,4.7162e+06
5,9,13,14,15,25,26,27,0.43301,0,0,-1,0
6,9,16,17,18,25,26,27,0.86603,-0.86603,0,-0.5,4.4706e+05
6,10,16,17,18,28,29,30,0.43301,0,0,-1,-2.2353e+05
2,10,4,5,6,28,29,30,0.86603,-0.86603,0,-0.5,3.4325e+06
3,11,7,8,9,31,32,33,0.86603,0.86603,0,-0.5,5.4968e+06
7,11,19,20,21,31,32,33,0.43301,0,0,-1,37179
8,11,22,23,24,31,32,33,0.86603,-0.86603,0,-0.5,5.4043e+05
8,12,22,23,24,34,35,36,0.43301,0,0,-1,33137
4,12,10,11,12,34,35,36,0.86603,-0.86603,0,-0.5,1.9709e+06
9,10,25,26,27,28,29,30,0.75,1,0,0,3.9409e+06
10,12,28,29,30,34,35,36,0.5,0,1,0,0
11,12,31,32,33,34,35,36,0.75,1,0,0,3.4711e+06
9,11,25,26,27,31,32,33,0.5,0,1,0,-5.4747e+05
10,11,28,29,30,31,32,33,0.90139,-0.83205,0.5547,0,9.8696e+05
9,8,25,26,27,22,23,24,1,0.75,0.5,0.43301,4.2797e+05
