Nodo,Coor,GDL,F,Q,,,,,,,,,,,,,,
1,Y,1,222.22,0,,,,,,,,,,,,,,
,θ,2,0,-2.1164E-05,,,,,,,,,,,,,,
2,Y,3,0,-2.0772E-06,,,,,,,,,,,,,,
,θ,4,0,-1.9988E-05,,,,,,,,,,,,,,
3,Y,5,0,-3.9193E-06,,,,TEÓRICO,NUMÉRICO,,,,,,,,,
,θ,6,0,-1.6461E-05,,,,,Con 9 ele.,,Con 19 ele.,,Con 49 ele.,,Con 99 ele.,,Con 199 ele.,
4,Y,7,0,-5.291E-06,,,,,Valor,Error,Valor,Error,Valor,Error,Valor,Error,Valor,Error
,θ,8,0,-1.0582E-05,,,R(en magnitud)[N],200,222.22,11.11,210.5263,5.26315,204.0816,2.0408,202.0202,1.01009999999999,201.005,0.502499999999998
5,Y,9,0,-5.9573E-06,,,σmax[pa],-3013000,-2869800,4.75273813474942,-2.95E+06,2.24361101891802,-2.99E+06,0.86292731496847,-3.00E+06,0.421506803849983,-3.01E+06,0.205774975107866
,θ,10,0,-2.3516E-06,,,vmax,-8.468E-06,-5.99E-06,29.3091639111951,-7.19E-06,15.1051015588096,-7.95E-06,6.14903164855926,-8.21E-06,3.09282002834197,-8.34E-06,1.55054322153989
6,Y,11,0,-5.6829E-06,,,v’(0),-2.58E-05,-2.12E-05,17.8097087378641,-2.35E-05,8.79611650485437,-2.49E-05,3.49514563106797,-2.53E-05,1.74368932038834,-2.55E-05,0.873786407766985
,θ,12,0,8.2305E-06,,,v’(L1),2.61E-05,2.12E-05,18.9180905677726,2.36E-05,9.67358823078691,2.51E-05,3.91540878093633,2.56E-05,1.96536663857176,2.58E-05,0.984598881311768
7,Y,13,0,-4.2328E-06,,,,,,,,,,,,,,
,θ,14,200,2.1164E-05,,,,,,,,,,,,,,
8,Y,15,0,-2.4299E-06,,,,,,,,,,,,,,
,θ,16,0,1.5285E-05,,,,TEÓRICO,NUMÉRICO,,,,,,,,,
9,Y,17,0,-1.0974E-06,,,,,Con 9 ele.,,Con 49 ele.,,Con 99 ele.,,Con 199 ele.,,,
,θ,18,0,1.1758E-05,,,,,Valor,Error,Valor,Error,Valor,Error,Valor,Error,,
10,Y,19,-222.22,0,,,R(en magnitud)[N],200,222.22,11.11,204.0816,2.0408,202.0202,1.01009999999999,201.005,0.502499999999998,,
,θ,20,0,1.0582E-05,,,σmax[pa],-3013000,-2869800,4.75273813474942,-2.99E+06,0.86292731496847,-3.00E+06,0.421506803849983,-3.01E+06,0.205774975107866,,
,,,,,,,vmax,-8.468E-06,-5.99E-06,29.3091639111951,-7.95E-06,6.14903164855926,-8.21E-06,3.09282002834197,-8.34E-06,1.55054322153989,,
,,,,,,,v’(0),-2.58E-05,-2.12E-05,17.8097087378641,-2.49E-05,3.49514563106797,-2.53E-05,1.74368932038834,-2.55E-05,0.873786407766985,,
,,,,,,,v’(L1),2.61E-05,2.12E-05,18.9180905677726,2.51E-05,3.91540878093633,2.56E-05,1.96536663857176,2.58E-05,0.984598881311768,,
